Id,Project Id,Armour Type,Armour Slope [v:h],Armour Density [kg/m3],Armour Mass [kg],Water Density [kg/m3],Offshore Significant Wave Height [m],Offshore Bed Elevation [m Datum],Average slope between offshore wave location and in front of Section [v:h],Significant Wave Height at Toe [m],Bed Elevation at Toe [m Datum],Peak Wave Period [s],Number of Waves [-],Crest Level [m Datum],Water Level [ m Datum],Notional Permeability [-],Damage [%]
0,1,XBLOC,3:04,2350,3600,1020,4.1,-5.4, 1:30,3.8,-2.8,8.5,1000,11,5.2,0.1,0
1,1,XBLOC,3:04,2350,3600,1020,4.4,-5.4, 1:30,3.7,-2.8,8.6,2000,11,4.4,0.1,0
2,1,XBLOC,3:04,2350,3600,1020,4.5,-5.4, 1:30,4,-2.8,8.9,1000,11,5.5,0.1,0
3,1,XBLOC,3:04,2350,3600,1020,4.4,-5.4, 1:30,3.7,-2.8,8.6,1000,11,4.4,0.1,0
4,1,XBLOC,3:04,2350,3600,1020,4.8,-5.4, 1:30,4,-2.8,9.1,1000,11,5.5,0.1,0
5,1,XBLOC,3:04,2350,3600,1020,4.3,-5.4, 1:30,3.7,-2.8,8.6,1000,11,4.4,0.1,0
6,2,XBLOC,3:04,2350,2820,1020,3.73,-1.7, 1:350,3.73,-1.5,16.3,1000,6.5,5.45,0.1,0.875
7,2,XBLOC,3:04,2350,2820,1020,3.76,-1.7, 1:350,3.76,-1.5,16.7,1000,6.5,5.72,0.1,1.25
8,2,XBLOC,3:04,2350,2820,1020,3.78,-1.7, 1:350,3.78,-1.5,16.16,1000,6.5,6.04,0.1,2
9,2,XBLOC,3:04,2350,2820,1020,3.73,-2, 1:350,3.73,-2,16.3,1000,10,5.45,0.1,0
10,2,XBLOC,3:04,2350,2820,1020,3.76,-2, 1:350,3.76,-2,16.7,1000,10,5.72,0.1,0
11,2,XBLOC,3:04,2350,2820,1020,3.78,-2, 1:350,3.78,-2,16.16,1000,10,6.04,0.1,0
12,2,XBLOC,3:04,2350,2820,1020,4.02,-2, 1:350,4.02,-2,16.16,1000,10,6.54,0.1,0
13,2,XBLOC,3:04,2350,2820,1020,4.26,-2, 1:350,4.26,-2,16.16,1000,10,7.04,0.1,0
18,5,XBLOC,3:04,2365,3600,1020,5,-38, 1:27,3.9,-4.3,10.5,1200,10.7,4.55,0.1,0
19,5,XBLOC,3:04,2365,3600,1020,5,-38, 1:27,3.9,-4.3,10.5,1200,12.7,4.55,0.1,0
20,5,XBLOC,3:04,2365,3600,1020,5,-38, 1:27,3.9,-4.3,10.5,1200,11.5,4.55,0.1,0
21,5,XBLOC,3:04,2365,3600,1020,6,-38, 1:27,2.7,-4.3,10.5,1250,11.5,1.5,0.1,0
22,5,XBLOC,3:04,2365,3600,1020,6.1,-38, 1:27,4.2,-4.3,10.9,1150,11.5,5.25,0.1,0
23,5,XBLOC,3:04,2365,3600,1020,7.6,-38, 1:27,4.6,-4.3,13.2,1000,11.5,5.9,0.1,0
24,5,XBLOC,3:04,2365,3600,1020,4.5,-37.2, 1:27,3.1,-3.5,10,1350,7.3,4.25,0.1,0
25,5,XBLOC,3:04,2365,3600,1020,4.4,-37.2, 1:27,1.7,-3.5,8.8,1550,7.3,0.7,0.1,0
26,5,XBLOC,3:04,2365,3600,1020,5.6,-37.2, 1:27,3.9,-3.5,11.5,450,7.3,5.25,0.1,0
27,5,XBLOC,3:04,2365,3600,1020,5.6,-37.2, 1:27,3.9,-3.5,11.5,1150,7.3,5.25,0.1,0
28,5,XBLOC,3:04,2365,3600,1020,5.6,-37.2, 1:27,2.2,-3.5,9.3,1450,7.3,1.5,0.1,0
29,5,XBLOC,3:04,2365,3600,1020,5.6,-37.2, 1:27,3.9,-3.5,11.5,1150,8.3,5.25,0.1,0
30,5,XBLOC,3:04,2365,3600,1020,6.9,-37.2, 1:27,4.1,-3.5,12.8,350,8.3,5.9,0.1,0
31,5,XBLOC,3:04,2365,3600,1020,4.5,-37.2, 1:27,3.1,-3.5,10,1350,8.3,4.25,0.1,0
32,6,XBLOC,3:04,2365,3600,1020,5.5,-11.5, 1:52,3.6,-4,11,1000,9,3.5,0.1,0
33,6,XBLOC,3:04,2365,3600,1020,6.6,-11.5, 1:52,4.2,-4,12.3,1000,9,4.5,0.1,0
34,6,XBLOC,3:04,2365,3600,1020,6.9,-11.5, 1:52,4.4,-4,12.3,1000,9,4.9,0.1,0
